Year,Temperature,Rainfall,Radiation,RelHumidity
2015,20.74,2.27,14.60,94.45
2016,20.49,2.38,14.56,94.03
2017,20.52,2.26,14.79,95.04
2018,20.56,2.27,14.79,95.06
,,,,
,,,,
